Basic_signal,Filtered_signal
106,-9.80675
107,-12.9789
109,-15.351
110,-16.7471
111,-17.0243
112,-16.0788
113,-13.85
113,-10.3226
112,-5.52747
111,0.459717
110,7.52097
110,15.5004
109,24.2101
110,33.4367
110,42.9496
110,52.5092
110,61.8756
111,70.8169
112,79.1178
114,86.5862
115,93.0606
117,98.4146
118,102.561
119,105.454
121,107.091
122,107.508
124,106.784
126,105.03
129,102.388
132,99.0252
136,95.1266
140,90.8882
144,86.5097
148,82.1879
155,78.1097
163,74.4462
167,71.3472
169,68.9373
170,67.3121
171,66.5355
172,66.6383
174,67.6177
176,69.4383
178,72.0342
180,75.3126
182,79.1578
185,83.4364
188,88.0031
192,92.7061
195,97.3941
198,101.921
201,106.154
204,109.975
208,113.287
212,116.016
214,118.118
212,119.571
208,120.384
203,120.59
198,120.245
194,119.424
190,118.216
186,116.72
182,115.039
177,113.279
174,111.539
171,109.91
170,108.471
170,107.286
171,106.4
172,105.843
175,105.624
179,105.735
183,106.152
189,106.838
195,107.742
208,108.808
239,109.975
302,111.182
377,112.38
461,113.538
547,114.654
634,115.768
722,116.965
803,118.388
849,120.231
865,122.74
845,126.202
786,130.93
694,137.234
593,145.4
495,155.656
401,168.144
310,182.903
225,199.843
151,218.744
113,239.251
103,260.881
95,283.042
91,305.056
88,326.192
87,345.694
87,362.818
88,376.862
91,387.197
94,393.295
98,394.751
103,391.303
108,382.838
111,369.407
114,351.219
117,328.635
119,302.157
122,272.408
125,240.115
128,206.078
132,171.142
135,136.173
137,102.024
139,69.5079
141,39.369
143,12.2619
145,-11.2707
147,-30.8129
150,-46.0867
154,-56.9574
157,-63.4334
161,-65.6618
166,-63.9177
171,-58.5902
176,-50.1641
180,-39.1986
182,-26.3043
184,-12.1192
184,2.71609
183,17.581
181,31.897
179,45.147
176,56.8912
172,66.7798
167,74.5622
161,80.091
152,83.3233
133,84.3159
118,83.2181
109,80.2598
104,75.7371
99,69.9968
96,63.4205
92,56.4069
88,49.3556
83,42.6504
79,36.6443
75,31.6455
71,27.9063
66,25.6141
61,24.8855
53,25.7627
45,28.2135
37,32.1336
30,37.3517
22,43.6373
5,50.7104
-22,58.2526
-51,65.9187
-77,73.3481
-100,80.1762
-125,86.0464
-150,90.6219
-178,93.5964
-200,94.7038
-214,93.7271
-228,90.5045
-242,84.9361
-250,76.9868
-254,66.6886
-257,54.1399
-259,39.5032
-261,23.0008
-264,4.90823
-267,-14.4545
-270,-34.7326
-272,-55.5487
-274,-76.5139
-276,-97.2411
-278,-117.357
-280,-136.512
-283,-154.393
-286,-170.733
-292,-185.313
-308,-197.975
-323,-208.623
-335,-217.223
-344,-223.807
-352,-228.47
-364,-231.364
-376,-232.69
-388,-232.692
-400,-231.647
-412,-229.854
-421,-227.62
-430,-225.255
-448,-223.056
-475,-221.299
-502,-220.228
-526,-220.055
-547,-220.95
-570,-223.04
-592,-226.408
-618,-231.093
-648,-237.089
-680,-244.353
-709,-252.803
-729,-262.333
-738,-272.812
-745,-284.093
-751,-296.018
-754,-308.421
-748,-321.134
-736,-333.989
-716,-346.82
-689,-359.469
-670,-371.781
-658,-383.608
-645,-394.808
-632,-405.247
-616,-414.803
-597,-423.363
-582,-430.829
-568,-437.118
-554,-442.159
-535,-445.899
-515,-448.301
-496,-449.344
-481,-449.021
-472,-447.342
-467,-444.328
-464,-440.017
-460,-434.459
-457,-427.723
-452,-419.887
-447,-411.045
-442,-401.305
-435,-390.782
-426,-379.602
-412,-367.893
-389,-355.79
-376,-343.42
-360,-330.908
-337,-318.366
-314,-305.895
-289,-293.577
-274,-281.475
-267,-269.632
-261,-258.069
-256,-246.79
-250,-235.779
-245,-225.012
-239,-214.454
-233,-204.065
-227,-193.805
-221,-183.637
-212,-173.528
-202,-163.455
-190,-153.403
-172,-143.37
-148,-133.363
-130,-123.399
-116,-113.504
-104,-103.707
-92,-94.0427
-78,-84.5477
-68,-75.2598
-60,-66.2158
-54,-57.4512
-49,-48.9984
-47,-40.8869
-45,-33.1427
-43,-25.7884
-41,-18.8435
-40,-12.3241
-38,-6.24358
-35,-0.612497
-33,4.56143
-40,9.27317
-52,13.52
-59,17.3002
-66,20.6121
-72,23.4527
-76,25.817
-78,27.698
-77,29.0873
-74,29.9756
-67,30.3545
-55,30.2182
-18,29.5663
33,28.4074
102,26.7649
193,24.6844
310,22.2425
441,19.557
567,16.7965
669,14.1893
718,12.0265
735,10.658
711,10.4793
638,11.9095
511,15.3628
355,21.2135
196,29.7574
56,41.1743
-43,55.4976
-96,72.5938
-122,92.1562
-144,113.713
-173,136.646
-195,160.215
-207,183.593
-215,205.896
-218,226.223
-215,243.698
-209,257.502
-202,266.912
-194,271.334
-186,270.326
-178,263.623
-168,251.144
-159,233.002
-152,209.5
-146,181.119
-141,148.508
-136,112.452
-133,73.8506
-130,33.6837
-126,-7.02453
-123,-47.241
-119,-85.9593
-115,-122.235
-111,-155.214
-107,-184.167
-103,-208.502
-98,-227.791
-92,-241.773
-86,-250.364
-80,-253.65
-75,-251.882
-69,-245.46
-62,-234.915
-53,-220.883
-41,-204.082
-26,-185.279
-7,-165.263
10,-144.811
28,-124.66
41,-105.479
49,-87.8481
58,-72.2363
67,-58.9907
78,-48.3276
90,-40.3296
101,-34.9481
110,-32.0104
119,-31.2314
130,-32.2297
140,-34.5471
148,-37.67
154,-41.0529
160,-44.1423
166,-46.4008
171,-47.3298
177,-46.4904
181,-43.5204
187,-38.1496
193,-30.2091
203,-19.6379
217,-6.48376
226,9.09987
232,26.8619
236,46.4645
239,67.4967
242,89.4908
244,111.94
244,134.317
241,156.093
233,176.759
224,195.839
211,212.907
192,227.602
176,239.634
162,248.792
151,254.95
139,258.066
126,258.181
119,255.416
114,249.964
110,242.082
107,232.081
105,220.314
103,207.165
102,193.033
101,178.323
101,163.428
101,148.719
102,134.535
104,121.173
105,108.88
106,97.8473
108,88.207
110,80.0326
111,73.3381
112,68.0823
112,64.1736
113,61.4762
113,59.8184
115,59.0013
117,58.8085
117,59.0161
115,59.4024
109,59.7571
104,59.8894
101,59.6342
99,58.8581
97,57.463
94,55.389
92,52.6158
91,49.1617
90,45.0825
89,40.4672
88,35.4344
88,30.1264
88,24.7027
90,19.3336
96,14.1929
99,9.45148
101,5.27077
103,1.797
104,-0.844277
105,-2.55284
107,-3.25746
109,-2.91842
110,-1.52874
111,0.885767
111,4.26771
111,8.53037
111,13.5609
111,19.2245
111,25.3691
110,31.8311
109,38.4409
106,45.0282
102,51.4284
97,57.487
92,63.0642
87,68.0388
82,72.3109
79,75.8044
76,78.4682
74,80.2772
73,81.2316
73,81.3569
76,80.7015
79,79.335
84,77.3456
89,74.8371
94,71.9252
100,68.7343
112,65.3935
126,62.0326
142,58.7796
153,55.7572
162,53.0809
169,50.856
174,49.1749
175,48.1143
173,47.7332
170,48.0699
165,49.1408
159,50.9387
151,53.4326
141,56.5673
130,60.265
113,64.4265
98,68.933
88,73.6495
81,78.4275
77,83.1101
73,87.537
71,91.551
69,95.0034
67,97.7599
67,99.706
69,100.751
71,100.833
73,99.9189
75,98.009
77,95.1358
79,91.3632
83,86.7846
87,81.5196
93,75.71
99,69.5154
104,63.1079
107,56.6663
108,50.3705
108,44.3954
107,38.9042
106,34.0435
104,29.9371
99,26.6824
93,24.3465
85,22.9641
77,22.5355
69,23.0267
61,24.3704
54,26.4682
48,29.1939
43,32.3987
40,35.9164
37,39.5702
34,43.1789
33,46.5647
32,49.5596
34,52.0116
36,53.791
39,54.7953
40,54.9531
41,54.2268
42,52.614
45,50.1472
50,46.892
61,42.9449
83,38.4301
116,33.4959
166,28.3124
238,23.0696
334,17.9767
452,13.2643
584,9.18768
716,6.03077
834,4.10997
906,3.77465
930,5.40195
903,9.38387
819,16.1059
659,25.9177
466,39.0971
274,55.8105
109,76.0744
-8,99.726
-56,126.407
-74,155.565
-75,186.469
-69,218.244
-63,249.905
-58,280.407
-61,308.689
-78,333.717
-89,354.532
-98,370.284
-105,380.268
-103,383.951
-93,380.991
-81,371.258
-75,354.832
-70,332.011
-66,303.293
-61,269.367
-56,231.082
-52,189.419
-50,145.458
-51,100.335
-55,55.2066
-59,11.2082
-62,-30.586
-61,-69.1989
-59,-103.782
-56,-133.641
-51,-158.256
-47,-177.296
-44,-190.619
-44,-198.275
-44,-200.497
-44,-197.684
-42,-190.386
-38,-179.272
-33,-165.107
-28,-148.718
-24,-130.961
-22,-112.687
-20,-94.7118
-17,-77.7862
-12,-62.5695
-5,-49.6082
2,-39.3195
14,-31.9791
27,-27.7153
38,-26.5085
50,-28.196
62,-32.4828
72,-38.9567
82,-47.1085
91,-56.3547
97,-66.0633
98,-75.5811
97,-84.2608
97,-91.4891
97,-96.7116
97,-99.4557
99,-99.3491
99,-96.1346
98,-89.679
96,-79.9778
93,-67.1545
90,-51.4549
85,-33.2375
78,-12.9591
70,8.84294
61,31.5704
51,54.5865
42,77.239
36,98.8831
31,118.905
27,136.742
22,151.905
17,163.99
11,172.699
3,177.84
-4,179.339
-11,177.234
-16,171.678
-20,162.923
-25,151.317
-30,137.281
-35,121.302
-39,103.904
-38,85.6373
-34,67.053
-28,48.6871
-20,31.0422
-14,14.5727
-8,-0.328689
-3,-13.3412
0,-24.224
2,-32.8208
5,-39.0621
9,-42.9638
12,-44.6228
13,-44.2101
13,-41.9612
11,-38.1646
8,-33.149
6,-27.2699
3,-20.8952
0,-14.3912
-1,-8.10903
-3,-2.37208
-5,2.53558
-6,6.37853
-6,8.97737
-6,10.2139
-5,10.0338
-3,8.44679
-2,5.52478
-1,1.39713
-1,-3.75578
0,-9.71105
2,-16.2132
5,-22.9849
7,-29.7387
-1,-36.1881
0,-42.0593
0,-47.1022
1,-51.1003
1,-53.8783
1,-55.3088
1,-55.3158
1,-53.8774
2,-51.0257
2,-46.8444
3,-41.4651
3,-35.0614
3,-27.8416
3,-20.0404
3,-11.9095
4,-3.7083
4,4.30606
3,11.8881
2,18.8127
1,24.8829
0,29.9361
0,33.8493
1,36.5424
1,37.9801
1,38.1723
0,37.1721
0,35.0733
0,32.0051
1,28.1271
1,23.6219
1,18.6881
0,13.5323
0,8.36148
-1,3.37479
-2,-1.24346
-3,-5.33049
-4,-8.75058
-6,-11.3996
-8,-13.2079
-9,-14.1424
-9,-14.2068
-9,-13.4403
-10,-11.915
-9,-9.73209
-9,-7.0171
-7,-3.91404
-5,-0.579058
-3,2.82622
-1,6.14155
0,9.21467
1,11.9073
2,14.1003
3,15.6983
3,16.6325
4,16.8632
4,16.3806
5,15.2042
6,13.382
7,10.9874
10,8.11639
12,4.88314
15,1.41568
18,-2.14915
22,-5.6709
25,-9.01061
29,-12.0358
31,-14.625
33,-16.6723
35,-18.0905
36,-18.8142
38,-18.8024
40,-18.0389
43,-16.5329
46,-14.3183
49,-11.4514
53,-8.00893
58,-4.08396
63,0.217616
67,4.78173
69,9.49071
68,14.2277
64,18.8807
58,23.3458
52,27.5297
46,31.3518
42,34.7451
37,37.6577
31,40.0529
25,41.9095
20,43.2208
15,43.9942
11,44.2494
8,44.017
4,43.3365
1,42.2549
-3,40.824
-10,39.0987
-20,37.1346
-26,34.9852
-30,32.7001
-33,30.3224
-37,27.8879
-39,25.4243
-35,22.9508
-23,20.4788
7,18.0136
49,15.5577
107,13.1162
182,10.7037
272,8.35275
378,6.12295
497,4.11077
623,2.45853
744,1.3622
843,1.07617
881,1.91284
872,4.23449
793,8.43528
644,14.9132
457,24.0329
263,36.083
97,51.2324
-18,69.4946
-73,90.7034
-90,114.506
-99,140.37
-104,167.608
-108,195.409
-112,222.87
-115,249.042
-118,272.967
-120,293.721
-122,310.451
-124,322.412
-125,329
-126,329.771
-127,324.464
-127,313.012
-129,295.542
-130,272.375
-130,244.011
-131,211.112
-134,174.481
-136,135.026
-135,93.7357
-126,51.6382
-115,9.76922
-108,-30.8632
-102,-69.3113
-96,-104.717
-92,-136.338
-88,-163.572
-85,-185.967
-83,-203.242
-81,-215.281
-79,-222.139
-78,-224.031
-76,-221.321
-75,-214.503
-73,-204.178
-72,-191.031
-70,-175.801
-68,-159.252
-65,-142.148
-62,-125.22
-57,-109.142
-52,-94.5094
-44,-81.8177
-32,-71.4474
-20,-63.6535
-6,-58.5596
6,-56.157
20,-56.3088
31,-58.7591
42,-63.1466
53,-69.0222
64,-75.8696
71,-83.1281
75,-90.2168
78,-96.5593
80,-101.608
82,-104.867
84,-105.912
86,-104.408
86,-100.122
85,-92.9329
82,-82.8334
77,-69.9325
71,-54.4504
66,-36.7099
60,-17.1244
53,3.81749
45,25.5706
35,47.5528
25,69.1659
15,89.8174
7,108.94
-1,126.014
-8,140.579
-14,152.257
-17,160.759
-19,165.894
-20,167.58
-21,165.838
-22,160.796
-23,152.679
-24,141.802
-25,128.557
-27,113.397
-28,96.8204
-29,79.3505
-30,61.519
-32,43.8462
-36,26.8235
-37,10.8967
-36,-3.54792
-34,-16.1952
-33,-26.8095
-31,-35.2401
-31,-41.4224
-31,-45.3769
-32,-47.2051
-35,-47.0818
-37,-45.2462
-40,-41.9905
-42,-37.6464
-47,-32.5716
-50,-27.1351
-49,-21.7024
-44,-16.6218
-40,-12.2107
-36,-8.74334
-31,-6.44063
-21,-5.46201
-11,-5.90002
-4,-7.77724
0,-11.0461
6,-15.5919
11,-21.2385
15,-27.7562
16,-34.8727
15,-42.2839
11,-49.6681
6,-56.6994
2,-63.062
-1,-68.4636
-4,-72.6477
-8,-75.4042
-12,-76.5772
-16,-76.0718
-19,-73.8569
-22,-69.9668
-23,-64.4991
-23,-57.6106
-23,-49.5105
-22,-40.4516
-21,-30.7204
-18,-20.6252
-16,-10.4844
-13,-0.613592
-11,8.68593
-10,17.1386
-9,24.5046
-8,30.5876
-6,35.2416
-4,38.3749
-1,39.9526
0,39.9964
3,38.583
6,35.8394
8,31.9378
9,27.0878
10,21.5276
9,15.5148
9,9.31565
8,3.19475
7,-2.59498
6,-7.82186
4,-12.2839
2,-15.8158
0,-18.2948
0,-19.6441
-1,-19.835
-1,-18.8867
-1,-16.8642
-4,-13.8746
-7,-10.0622
-10,-5.60162
-10,-0.691069
-6,4.45599
0,9.61969
6,14.583
11,19.1412
15,23.1099
20,26.3332
25,28.6892
29,30.0945
32,30.5075
35,29.9291
38,28.4021
40,26.0085
43,22.866
46,19.1225
49,14.9497
52,10.5363
58,6.08023
60,1.78111
54,-2.16735
56,-5.58497
62,-8.3123
64,-10.2165
66,-11.1957
68,-11.1825
70,-10.1457
71,-8.09079
70,-5.05934
67,-1.12704
62,3.59935
57,8.98582
52,14.8757
49,21.095
45,27.4585
41,33.7761
37,39.8595
33,45.5285
30,50.6171
28,54.9789
26,58.4921
25,61.0628
25,62.6285
25,63.1596
26,62.6599
28,61.1663
30,58.7472
34,55.4993
38,51.5449
43,47.0265
62,42.1031
106,36.9449
169,31.731
253,26.6485
359,21.8951
479,17.6829
595,14.2439
694,11.835
764,10.74
790,11.2668
787,13.7379
742,18.4752
635,25.7777
474,35.8943
288,48.9918
115,65.1211
-4,84.1868
-42,105.929
-52,129.916
-59,155.564
-63,182.153
-68,208.866
-72,234.82
-76,259.108
-80,280.837
-83,299.162
-86,313.324
-89,322.683
-92,326.739
-95,325.157
-97,317.776
-99,304.622
-102,285.9
-103,261.992
-104,233.441
-103,200.932
-102,165.267
-100,127.337
-97,88.0896
-94,48.4975
-90,9.52514
-86,-27.9033
-81,-62.9342
-71,-94.8108
-64,-122.896
-59,-146.69
-56,-165.842
-55,-180.158
-55,-189.603
-54,-194.295
-53,-194.497
-52,-190.605
-50,-183.125
-48,-172.654
-47,-159.854
-46,-145.427
-45,-130.084
-43,-114.526
-41,-99.4102
-38,-85.3324
-34,-72.8059
-25,-62.2451
-7,-53.9529
1,-48.1129
7,-44.7852
14,-43.9084
21,-45.3058
29,-48.6968
42,-53.711
60,-59.9065
69,-66.7884
75,-73.8305
79,-80.4966
81,-86.2636
82,-90.643
80,-93.2012
76,-93.5774
71,-91.4987
67,-86.7908
64,-79.3857
60,-69.3241
57,-56.754
54,-41.9243
51,-25.1752
49,-6.92486
46,12.3472
44,32.1181
41,51.8419
38,70.9694
35,88.9688
32,105.344
28,119.655
22,131.526
15,140.668
10,146.877
5,150.046
1,150.164
-2,147.317
-6,141.677
-9,133.501
-11,123.116
-12,110.906
-13,97.2985
-13,82.7475
-13,67.718
-14,52.6693
-15,38.0388
-16,24.2283
-17,11.5904
-18,0.418116
-19,-9.06351
-20,-16.7028
-23,-22.4242
-23,-26.2281
-19,-28.1877
-17,-28.4432
-16,-27.1931
-16,-24.6841
-15,-21.1995
-15,-17.0461
-15,-12.5415
-15,-8.0011
-15,-3.72546
-14,0.0110588
-13,2.97052
-13,4.95989
-12,5.83752
-12,5.51742
-11,3.97116
-10,1.22759
-9,-2.6298
-8,-7.46747
-6,-13.1083
-6,-19.3394
-5,-25.9218
-4,-32.6
-2,-39.1126
2,-45.2031
6,-50.6291
8,-55.1719
6,-58.644
1,-60.8963
-3,-61.8236
-6,-61.3687
-8,-59.5249
-11,-56.3359
-13,-51.8942
-15,-46.3367
-17,-39.8399
-17,-32.6126
-16,-24.8875
-14,-16.9129
-12,-8.94221
-10,-1.2247
-7,6.00404
-2,12.5309
0,18.1728
0,22.7837
-3,26.2585
-6,28.5365
-9,29.6017
-8,29.4816
-3,28.2451
-1,25.9985
0,22.8812
1,19.0597
2,14.7208
2,10.0643
3,5.29494
3,0.614582
4,-3.7852
4,-7.73014
4,-11.0694
4,-13.6805
4,-15.4736
3,-16.3937
3,-16.4219
3,-15.5754
3,-13.9058
2,-11.4962
1,-8.45724
0,-4.92219
0,-1.0414
0,3.02388
0,7.10798
-1,11.0473
-1,14.6867
1,17.8851
3,20.5208
4,22.4959
6,23.7398
7,24.2118
10,23.9017
13,22.8302
17,21.0477
21,18.6319
26,15.685
30,12.3295
34,8.70396
36,4.95724
38,1.2433
40,-2.28485
42,-5.48093
44,-8.21084
47,-10.3575
49,-11.825
51,-12.5417
53,-12.4626
56,-11.5703
62,-9.87548
74,-7.41523
80,-4.25087
84,-0.464238
86,3.84629
88,8.56986
87,13.5873
86,18.7753
82,24.0103
77,29.172
59,34.147
34,38.8301
20,43.1259
12,46.9487
7,50.2229
2,52.8846
-1,54.8832
-5,56.1822
-10,56.7606
-16,56.613
-16,55.7499
-9,54.1965
-3,51.9931
0,49.1941
2,45.8675
6,42.0935
9,37.9624
12,33.572
17,29.025
36,24.4267
66,19.8825
115,15.4977
188,11.3787
290,7.63712
414,4.3961
549,1.79947
685,0.0215038
807,-0.724259
897,-0.179622
933,1.95785
901,6.02615
798,12.3801
636,21.3621
441,33.2647
247,48.2883
88,66.501
-21,87.8066
-69,111.927
-87,138.397
-95,166.585
-103,195.712
-117,224.89
-131,253.16
-139,279.533
-130,303.03
-115,322.726
-103,337.788
-96,347.514
-91,351.361
-97,348.972
-103,340.189
-107,325.058
-110,303.832
-112,276.957
-110,245.056
-107,208.908
-103,169.417
-99,127.584
-95,84.4687
-92,41.1549
-92,-1.2878
-93,-41.8394
-96,-79.5632
-99,-113.637
-102,-143.376
-91,-168.26
-81,-187.936
-75,-202.235
-71,-211.164
-68,-214.9
-67,-213.782
-66,-208.286
-65,-199.01
-64,-186.642
-63,-171.937
-61,-155.684
-60,-138.675
-57,-121.68
-53,-105.415
-47,-90.5188
-35,-77.5309
-18,-66.8754
-3,-58.847
10,-53.603
18,-51.1612
22,-51.4034
26,-54.0845
33,-58.8476
40,-65.2417
47,-72.744
52,-80.7833
57,-88.7647
61,-96.0955
64,-102.21
67,-106.591
72,-108.793
78,-108.46
79,-105.335
80,-99.2738
81,-90.2461
81,-78.3387
82,-63.7505
79,-46.7837
74,-27.8325
68,-7.36735
61,14.0821
52,35.9467
42,57.6381
33,78.5693
23,98.1752
15,115.932
9,131.373
5,144.107
1,153.828
-1,160.327
-6,163.496
-11,163.33
-16,159.929
-20,153.486
-22,144.283
-24,132.679
-25,119.092
-26,103.987
-27,87.8583
-27,71.2096
-28,54.5383
-28,38.3183
-29,22.9839
-30,8.91676
-31,-3.56627
-31,-14.2214
-31,-22.8839
-30,-29.4708
-29,-33.9805
-28,-36.4889
-27,-37.1433
-27,-36.1536
-25,-33.7815
-25,-30.328
-25,-26.1199
-26,-21.4962
-28,-16.7941
-30,-12.3356
-33,-8.41572
-35,-5.29203
-31,-3.17549
-25,-2.22359
-22,-2.53515
-20,-4.14733
-19,-7.03532
-17,-11.1147
-15,-16.2461
-13,-22.242
-10,-28.8753
-8,-35.8891
-6,-43.007
-4,-49.9453
-3,-56.4234
-1,-62.1756
0,-66.9611
1,-70.5731
3,-72.8466
5,-73.6643
8,-72.9606
10,-70.7229
12,-66.992
13,-61.8592
12,-55.4628
10,-47.9819
8,-39.6301
6,-30.6473
4,-21.2912
2,-11.828
0,-2.52339
-1,6.36723
-3,14.6068
-5,21.9849
-7,28.3239
-7,33.4849
-8,37.371
-7,39.9302
-7,41.1558
-6,41.0852
-4,39.7984
-3,37.4129
-1,34.0798
0,29.9765
1,25.3003
3,20.2606
5,15.0711
8,9.94154
11,5.07109
14,0.641073
18,-3.19061
22,-6.29432
26,-8.57218
27,-9.96036
26,-10.4302
23,-9.98801
19,-8.67453
13,-6.56255
5,-3.75419
0,-0.377086
-4,3.42022
-8,7.47382
-10,11.6106
-5,15.6547
3,19.4351
7,22.7923
10,25.5855
12,27.6984
14,29.0439
16,29.5669
18,29.2465
21,28.0956
23,26.1609
25,23.5198
27,20.2776
28,16.5627
30,12.5213
32,8.31205
33,4.09896
35,0.0457356
36,-3.69068
39,-6.96587
43,-9.65308
47,-11.6475
50,-12.8694
53,-13.2666
56,-12.8151
58,-11.5202
61,-9.41452
64,-6.5571
68,-3.03008
70,1.06475
72,5.61026
74,10.4786
77,15.5359
81,20.6477
86,25.6833
86,30.521
76,35.0521
61,39.1837
43,42.84
34,45.9621
30,48.5072
27,50.4487
24,51.775
21,52.4901
18,52.612
15,52.1721
11,51.2133
5,49.7877
-1,47.955
-7,45.7789
-12,43.3253
-16,40.6587
-20,37.8407
-23,34.9272
-21,31.9674
-16,29.0028
-1,26.0668
19,23.1864
46,20.3835
80,17.6791
129,15.0967
199,12.6676
296,10.4374
415,8.47432
549,6.87913
683,5.79572
803,5.42027
889,6.00656
925,7.86509
899,11.3534
803,16.8566
645,24.7571
453,35.3965
262,49.0315
103,65.7925
-4,85.6483
-62,108.386
-86,133.605
-102,160.73
-119,189.031
-135,217.655
-145,245.667
-151,272.085
-151,295.923
-143,316.235
-131,332.155
-118,342.933
-111,347.972
-107,346.852
-104,339.349
-102,325.444
-101,305.331
-100,279.402
-99,248.239
-97,212.59
-96,173.342
-96,131.492
-96,88.1069
-96,44.2869
-97,1.12917
-98,-40.3119
-99,-79.0595
-100,-114.247
-101,-145.145
-102,-171.182
-103,-191.964
-104,-207.276
-102,-217.092
-99,-221.565
-95,-221.017
-89,-215.919
-80,-206.872
-69,-194.578
-54,-179.807
-40,-163.37
-34,-146.081
-30,-128.728
-28,-112.044
-24,-96.6801
-20,-83.1855
-16,-71.9906
-11,-63.3953
-6,-57.5624
0,-54.5169
3,-54.1502
8,-56.2298
26,-60.4133
50,-66.2651
63,-73.2765
71,-80.8866
76,-88.5065
81,-95.5436
84,-101.427
87,-105.63
91,-107.694
96,-107.246
95,-104.009
87,-97.8195
82,-88.6299
79,-76.5105
75,-61.6483
71,-44.3393
67,-24.9768
63,-4.03678
57,17.9405
46,40.3706
29,62.6462
16,84.1583
7,104.317
-2,122.571
-11,138.427
-20,151.466
-27,161.356
-29,167.863
-31,170.858
-32,170.32
-33,166.334
-33,159.09
-34,148.872
-34,136.047
-34,121.054
-34,104.383
-34,86.5605
-35,68.1287
-35,49.628
-35,31.5777
-35,14.4585
-34,-1.30227
